venda_id,data,cliente_id,primeiro nome,último nome,nif,data-nascimento,genero,concelho,distrito,produtos_id,produtos_nome,marca,produto_categoria,produto_subcategoria,produtos_preco,preco
1,12/07/2001,2615,Jaime,Faria,346306701,02/06/1988,Masculino,Santa Cruz,Madeira,"[2, 5]","['Sony PlayStation 2', 'Creative NOMAD Jukebox']","['Sony', 'Creative']","['Gaming', 'Áudio']","['Consolas', 'Leitores MP3']","[299.0, 299.0]",598
2,13/07/2001,9321,Jorge,Pinheiro,614451692,07/04/1956,Masculino,Elvas,Portalegre,"[2, 10]","['Sony PlayStation 2', 'iMac G3']","['Sony', 'Apple']","['Gaming', 'Informática']","['Consolas', 'Desktops']","[299.0, 1299.0]",1598
3,14/07/2001,2087,Mariana,Jesus,918819951,15/12/1981,Feminino,Horta,Açores,"[9, 8, 2]","['Dell Dimension 4100', 'The Sims', 'Sony PlayStation 2']","['Dell', 'Maxis', 'Sony']","['Informática', 'Gaming', 'Gaming']","['Desktops', 'Jogos', 'Consolas']","[799.0, 29.99, 299.0]",1127.99
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
